LSOAN05CD,LSOAN05NM,FID
95MM06S2,Carn Hill 2,453
95SS21S1,Maghaberry 1,454
95RR05S1,Enagh 1 Limavady,455
95LL02S2,Annagh 2,456
95MM07W1,Caw,457
95SS21S2,Maghaberry 2,458
95RR05S2,Enagh 2 Limavady,459
95MM08S1,Clondermot 1,460
95LL03W1,Ballybay,461
95LL04W1,Ballyoran,462
95LL05S1,Bleary 1,463
95MM08S2,Clondermot 2,464
95SS22S1,Magheralave 1,465
95MM09S1,Claudy 1,466
95LL05S2,Bleary 2,467
95RR06W1,Feeny,468
95SS22S2,Magheralave 2,469
95LL06S1,Brownstown 1,470
95MM09S2,Claudy 2,471
95RR07W1,Forest,472
95SS23S1,Maze 1,473
95LL06S2,Brownstown 2,474
95MM10S1,Creggan Central 1,475
95RR08W1,Glack,476
95SS23S2,Maze 2,477
95LL07W1,Church,478
95MM10S2,Creggan Central 2,479
95RR09S1,Gresteel 1,480
95SS24S1,Moira 1,481
95LL08S1,Corcrain 1,482
95MM11W1,Creggan South,483
95RR09S2,Gresteel 2,484
95SS24S2,Moira 2,485
95LL08S2,Corcrain 2,486
95MM12S1,Crevagh 1,487
95RR10W1,Greystone Limavady,488
95SS25W1,Old Warren,489
95LL09S1,Court 1,490
95MM12S2,Crevagh 2,491
95RR11W1,Magilligan,492
95SS26S1,Poleglass 1,493
95LL09S2,Court 2,494
95MM12S3,Crevagh 3,495
95RR12W1,Rathbrady,496
95SS26S2,Poleglass 2,497
95LL10S1,Derrytrasna 1,498
95MM13S1,Culmore 1,499
95RR13W1,Roeside,500
95SS27W1,Seymour Hill,501
95LL10S2,Derrytrasna 2,502
95MM13S2,Culmore 2,503
95RR14W1,The Highlands,504
95SS28W1,Tonagh,505
95LL11S1,Donaghcloney 1,506
95MM13S3,Culmore 3,507
95RR15W1,Upper Glenshane,508
95SS29S1,Twinbrook 1,509
95LL11S2,Donaghcloney 2,510
95MM13S4,Culmore 4,511
95SS01S1,Ballinderry 1,512
95SS29S2,Twinbrook 2,513
95LL12S1,Drumgask 1,514
95MM13S5,Culmore 5,515
95SS01S2,Ballinderry 2,516
95SS30S1,Wallace Park 1,517
95LL12S2,Drumgask 2,518
95MM14S1,Ebrington 1,519
95SS02S1,Ballymacash 1,520
95SS30S2,Wallace Park 2,521
95LL13S1,Drumgor 1,522
95MM14S2,Ebrington 2,523
95SS02S2,Ballymacash 2,524
95TT01W1,Ballymaguigan,525
95LL13S2,Drumgor 2,526
95MM15S1,Eglinton 1,527
95SS03S1,Ballymacbrennan 1,528
95TT02W1,Bellaghy,529
95LL14S1,Drumnamoe 1,530
95MM15S2,Eglinton 2,531
95SS03S2,Ballymacbrennan 2,532
95TT03S1,Castledawson 1,533
95LL14S2,Drumnamoe 2,534
95MM16S1,Enagh 1 Derry,535
95SS04S1,Ballymacoss 1,536
95TT03S2,Castledawson 2,537
95LL15S1,Edenderry 1,538
95MM16S2,Enagh 2 Derry,539
95SS04S2,Ballymacoss 2,540
95TT04W1,Draperstown,541
95LL15S2,Edenderry 2,542
95MM17S1,Foyle Springs 1,543
95SS04S3,Ballymacoss 3,544
95TT05S1,Glebe 1 Magherafelt,545
95LL16S1,Kernan 1,546
95MM17S2,Foyle Springs 2,547
95SS05S1,Blaris 1,548
95TT05S2,Glebe 2 Magherafelt,549
95LL16S2,Kernan 2,550
95MM18S1,Holly Mount 1,551
95SS05S2,Blaris 2,552
95TT06W1,Gulladuff,553
95LL17W1,Killycomain,554
95MM18S2,Holly Mount 2,555
95SS06S1,Collin Glen 1,556
95TT07W1,Knockcloghrim,557
95LL18S1,Knocknashane 1,558
95MM19S1,Kilfennan 1,559
95SS06S2,Collin Glen 2,560
95TT08W1,Lecumpher,561
95LL18S2,Knocknashane 2,562
